,id,name,min_n_players,max_n_players,type,is_deterministic
0,2048,2048,1,1,perfect_information,False
1,add_noise,Add noise to terminal utilities.,1,100,imperfect_information,False
2,amazons,Amazons,2,2,perfect_information,True
3,backgammon,Backgammon,2,2,perfect_information,False
4,bargaining,Bargaining,2,2,imperfect_information,False
5,battleship,Battleship,2,2,imperfect_information,True
6,blackjack,Blackjack,1,1,imperfect_information,False
7,blotto,Blotto,2,10,one_shot,True
8,breakthrough,Breakthrough,2,2,perfect_information,True
9,bridge,Contract Bridge,4,4,imperfect_information,False
10,bridge_uncontested_bidding,Bridge: Uncontested Bidding,2,2,imperfect_information,False
11,cached_tree,Cached Tree Game Transform,1,100,imperfect_information,False
12,catch,Catch,1,1,perfect_information,False
13,checkers,Checkers,2,2,perfect_information,True
14,chess,Chess,2,2,perfect_information,True
15,cliff_walking,CliffWalking,1,1,perfect_information,True
16,clobber,Clobber,2,2,perfect_information,True
17,coin_game,The Coin Game,1,10,imperfect_information,False
18,colored_trails,Colored Trails,3,3,imperfect_information,False
19,connect_four,Connect Four,2,2,perfect_information,True
20,coop_box_pushing,Cooperative Box Pushing,2,2,imperfect_information,False
21,coop_to_1p,Cooperative Game As Single-Player,1,1,imperfect_information,False
22,coordinated_mp,Coordinated Matching Pennies,2,2,imperfect_information,False
23,crazy_eights,Crazy Eights,2,15,imperfect_information,False
24,cribbage,Cribbage,2,4,imperfect_information,False
25,cursor_go,Cursor Go,2,2,perfect_information,True
26,dark_chess,Dark Chess,2,2,imperfect_information,True
27,dark_hex,Dark Hex,2,2,imperfect_information,True
28,dark_hex_ir,Dark Hex with Imperfect Recall,2,2,imperfect_information,True
29,deep_sea,DeepSea,1,1,imperfect_information,True
30,dots_and_boxes,Dots and Boxes,2,2,perfect_information,True
31,dou_dizhu,Dou Dizhu,3,3,imperfect_information,False
32,efg_game,efg_game,2,2,perfect_information,True
33,einstein_wurfelt_nicht,einstein_wurfelt_nicht,2,2,perfect_information,False
34,euchre,Euchre,4,4,imperfect_information,False
35,first_sealed_auction,First-Price Sealed-Bid Auction,2,10,imperfect_information,False
36,gin_rummy,Gin Rummy,2,2,imperfect_information,False
37,go,Go,2,2,perfect_information,True
38,goofspiel,Goofspiel,2,10,perfect_information,False
39,hanabi,Hanabi,2,5,imperfect_information,False
40,havannah,Havannah,2,2,perfect_information,True
41,hearts,Hearts,4,4,imperfect_information,False
42,hex,Hex,2,2,perfect_information,True
43,hive,Hive,2,2,perfect_information,True
44,kriegspiel,Kriegspiel,2,2,imperfect_information,True
